Target	Gene source	Negative metabolite	Positive metabolite	Negative score	Positive score	Reaction	Equation	Corr	Cov
EX_INDIRUBIN_LPAREN_e_RPAREN_	Native	2aobut_c	gly_c	-0.0336152486522	0.479780182098	GLYAT_reverse	2aobut_c + coa_c --> accoa_c + gly_c	-0.525636073003	-0.0475391405465
EX_INDIRUBIN_LPAREN_e_RPAREN_	Native	fc1p_c	dhap_c	0.0	1.49099041395	FCLPA	fc1p_c --> dhap_c + lald_DASH_L_c	nan	0.0
EX_INDIRUBIN_LPAREN_e_RPAREN_	Native	pyr_c	flxr_c	-1.3675894519	0.0423956068373	POR5	coa_c + 2.0 flxso_c + pyr_c --> accoa_c + co2_c + 2.0 flxr_c + h_c	0.40618119723	0.00287478099383
EX_INDIRUBIN_LPAREN_e_RPAREN_	Universal model	pyr_c	acald_c	-1.3675894519	0.140447724662	PYRDC	h_c_ + pyr_c_ --> acald_c_ + co2_c_	NA	NA
EX_INDIRUBIN_LPAREN_e_RPAREN_	Native	pyr_c	alac_DASH_S_c	-1.3675894519	0.039848557218	ACLS	h_c + 2.0 pyr_c --> alac_DASH_S_c + co2_c	-0.999306028056	-0.45887294229
EX_INDIRUBIN_LPAREN_e_RPAREN_	Native	dha_c	f6p_c	-0.235167063352	1.88695844633	F6PA_reverse	dha_c + g3p_c --> f6p_c	0.67523136027	0.332576450416
EX_INDIRUBIN_LPAREN_e_RPAREN_	Native	dha_c	dhap_c	-0.235167063352	1.49099041395	DHAPT	dha_c + pep_c --> dhap_c + pyr_c	-0.67523136027	-0.332576450416
EX_INDIRUBIN_LPAREN_e_RPAREN_	Universal model	dha_c	dhap_c	-0.235167063352	1.49099041395	DHAK	atp_c_ + dha_c_ --> adp_c_ + dhap_c_ + h_c_	NA	NA
EX_INDIRUBIN_LPAREN_e_RPAREN_	Native	thf_c	gar_c	-0.349458253312	0.0590031352335	GARFT_reverse	fgam_c + h_c + thf_c --> 10fthf_c + gar_c	0.953659169868	0.28108888296
EX_INDIRUBIN_LPAREN_e_RPAREN_	Universal model	thf_c	gar_c	-0.349458253312	0.0590031352335	FGFT	fgam_c_ + 3.0 h_c_ + thf_c_ --> gar_c_ + h2o_c_ + methf_c_	NA	NA
EX_INDIRUBIN_LPAREN_e_RPAREN_	Native	thf_c	mlthf_c	-0.349458253312	0.479780182098	GHMT2r	ser_DASH_L_c + thf_c --> gly_c + h2o_c + mlthf_c	0.327795607329	0.0501065541984
EX_INDIRUBIN_LPAREN_e_RPAREN_	Native	thf_c	mlthf_c	-0.349458253312	0.479780182098	GLYCL	gly_c + nad_c + thf_c --> co2_c + mlthf_c + nadh_c + nh4_c	-0.576080234691	-0.0804147431278
EX_INDIRUBIN_LPAREN_e_RPAREN_	Universal model	thf_c	mlthf_c	-0.349458253312	0.479780182098	GCCb	alpro_c_ + thf_c_ --> dhlpro_c_ + mlthf_c_ + nh4_c_	NA	NA
EX_INDIRUBIN_LPAREN_e_RPAREN_	Universal model	thf_c	mlthf_c	-0.349458253312	0.479780182098	GCCb_1	gcvHalip_c_ + thf_c_ --> gcvHdhlip_c_ + mlthf_c_ + nh4_c_	NA	NA
EX_INDIRUBIN_LPAREN_e_RPAREN_	Universal model	thf_c	mlthf_c	-0.349458253312	0.479780182098	SARCOX2	o2_c_ + sarcs_c_ + thf_c_ --> gly_c_ + h2o2_c_ + mlthf_c_	NA	NA
EX_INDIRUBIN_LPAREN_e_RPAREN_	Universal model	thf_c	mlthf_c	-0.349458253312	0.479780182098	GCC2	alpam_c_ + thf_c_ --> dhlam_c_ + mlthf_c_ + nh4_c_	NA	NA
EX_INDIRUBIN_LPAREN_e_RPAREN_	Universal model	thf_c	mlthf_c	-0.349458253312	0.479780182098	FldAct	fald_c_ + thf_c_ --> h2o_c_ + mlthf_c_	NA	NA
EX_INDIRUBIN_LPAREN_e_RPAREN_	Universal model	thf_c	mlthf_c	-0.349458253312	0.479780182098	GLYCLb	samprot_c_ + thf_c_ --> dhlprot_c_ + mlthf_c_ + nh3_c_	NA	NA
EX_INDIRUBIN_LPAREN_e_RPAREN_	Native	thf_c	gly_c	-0.349458253312	0.479780182098	GHMT2r	ser_DASH_L_c + thf_c --> gly_c + h2o_c + mlthf_c	0.327795607329	0.0501065541984
EX_INDIRUBIN_LPAREN_e_RPAREN_	Universal model	thf_c	gly_c	-0.349458253312	0.479780182098	SARCOX2	o2_c_ + sarcs_c_ + thf_c_ --> gly_c_ + h2o2_c_ + mlthf_c_	NA	NA
EX_INDIRUBIN_LPAREN_e_RPAREN_	Universal model	thf_c	gly_c	-0.349458253312	0.479780182098	FTHFGFT	fgly_c_ + thf_c_ --> 5forthf_c_ + gly_c_	NA	NA
EX_INDIRUBIN_LPAREN_e_RPAREN_	Native	thf_c	aicar_c	-0.349458253312	0.199739613596	AICART_reverse	fprica_c + thf_c --> 10fthf_c + aicar_c	0.706805313401	0.250266233922
EX_INDIRUBIN_LPAREN_e_RPAREN_	Universal model	thf_c	methf_c	-0.349458253312	0.357724785301	FGFT	fgam_c_ + 3.0 h_c_ + thf_c_ --> gar_c_ + h2o_c_ + methf_c_	NA	NA
EX_INDIRUBIN_LPAREN_e_RPAREN_	Native	thf_c	10fthf_c	-0.349458253312	0.438121596167	FTHFLi	atp_c + for_c + thf_c --> 10fthf_c + adp_c + pi_c	nan	0.0
EX_INDIRUBIN_LPAREN_e_RPAREN_	Native	thf_c	10fthf_c	-0.349458253312	0.438121596167	AICART_reverse	fprica_c + thf_c --> 10fthf_c + aicar_c	0.706805313401	0.250266233922
EX_INDIRUBIN_LPAREN_e_RPAREN_	Native	thf_c	10fthf_c	-0.349458253312	0.438121596167	GARFT_reverse	fgam_c + h_c + thf_c --> 10fthf_c + gar_c	0.953659169868	0.28108888296
